student_id,gender,age_band,region,school_board,parental_education,family_income,internet_access,device_type,data_recharge_frequency,disability,has_private_tuition,num_of_prev_attempts,daily_study_hours,attendance_rate,performance
S0031,M,26-35,East,ICSE,Graduate,<2L,Yes,Laptop,Daily,No,No,0,0.8,0.86,High
S0032,F,26-35,North,State,School,5L–10L,Yes,Mobile,Weekly,No,No,1,3.4,0.68,Low
S0033,F,36-45,West,ICSE,School,2L–5L,Yes,Laptop,Daily,No,No,1,1.7,0.6,Low
S0034,F,0-25,East,CBSE,Graduate,<2L,Yes,Mobile,Monthly,No,No,0,2.1,0.82,High
S0035,M,0-25,West,State,None,>10L,Yes,Laptop,Monthly,No,No,2,1.6,0.95,High
S0036,F,26-35,West,ICSE,Postgraduate,<2L,Yes,Laptop,Monthly,No,Yes,1,3.6,0.96,High
S0037,M,0-25,West,ICSE,Graduate,<2L,Yes,Tablet,Weekly,No,Yes,2,1.9,0.98,Moderate
S0038,M,26-35,East,State,Postgraduate,2L–5L,Yes,Mobile,Weekly,No,No,1,3.7,0.94,High
S0039,M,36-45,South,ICSE,Graduate,2L–5L,Yes,Laptop,Monthly,No,Yes,1,3.6,0.64,Low
S0040,M,36-45,West,CBSE,Graduate,>10L,Yes,Tablet,Monthly,No,No,0,2.4,0.92,Low
S0041,M,26-35,West,CBSE,School,>10L,Yes,Tablet,Daily,No,No,2,1.7,0.91,Moderate
S0042,F,36-45,East,ICSE,Postgraduate,<2L,No,Laptop,Daily,No,No,0,0.7,0.87,Low
S0043,F,36-45,North,State,Graduate,5L–10L,Yes,Tablet,Daily,No,No,2,0.6,0.75,High
S0044,F,0-25,South,ICSE,School,5L–10L,Yes,Tablet,Daily,No,No,1,3.5,0.67,Low
S0045,F,0-25,East,ICSE,Graduate,>10L,Yes,Laptop,Monthly,Yes,Yes,1,2.7,0.72,Low
S0046,F,0-25,North,CBSE,Postgraduate,2L–5L,Yes,Tablet,Weekly,No,Yes,2,1.5,0.74,Moderate
S0047,M,0-25,East,ICSE,Graduate,5L–10L,Yes,Tablet,Daily,No,Yes,0,1.2,0.94,High
S0048,F,0-25,East,State,School,>10L,No,Laptop,Monthly,No,No,1,0.7,0.91,High
S0049,F,26-35,South,CBSE,School,<2L,Yes,Tablet,Weekly,No,Yes,2,2.0,0.69,Moderate
S0050,M,26-35,South,ICSE,None,2L–5L,Yes,Tablet,Weekly,No,No,0,1.7,0.95,High
S0051,F,0-25,South,State,Postgraduate,<2L,Yes,Laptop,Weekly,No,No,2,2.0,0.79,High
S0052,M,36-45,South,CBSE,None,<2L,Yes,Laptop,Weekly,No,No,1,2.2,0.91,High
S0053,F,36-45,North,State,School,2L–5L,Yes,Mobile,Weekly,No,No,1,2.7,0.84,High
S0054,M,26-35,West,State,None,<2L,No,Tablet,Weekly,No,Yes,0,1.7,0.88,Moderate
S0055,F,26-35,East,State,Postgraduate,5L–10L,Yes,Tablet,Daily,Yes,No,2,0.6,0.76,High
S0056,F,26-35,South,ICSE,School,<2L,Yes,Mobile,Monthly,No,No,1,2.2,0.7,High
S0057,M,36-45,West,CBSE,None,<2L,Yes,Mobile,Monthly,No,Yes,2,2.5,0.68,High
S0058,M,26-35,North,ICSE,None,5L–10L,Yes,Mobile,Weekly,Yes,Yes,1,1.3,0.67,High
S0059,M,36-45,South,CBSE,School,>10L,No,Tablet,Monthly,No,Yes,2,1.6,0.88,High
S0060,M,26-35,East,State,Graduate,2L–5L,Yes,Tablet,Monthly,No,Yes,1,3.0,0.97,Moderate
S0061,M,36-45,West,State,School,2L–5L,Yes,Mobile,Daily,No,No,2,1.9,0.71,High
S0062,M,26-35,South,ICSE,None,5L–10L,Yes,Mobile,Daily,No,Yes,1,2.1,0.62,High
S0063,M,26-35,East,State,Postgraduate,<2L,No,Mobile,Daily,No,Yes,0,2.8,0.72,High
S0064,M,36-45,West,State,None,5L–10L,Yes,Laptop,Weekly,No,Yes,2,3.1,0.77,Moderate
S0065,F,26-35,East,State,School,2L–5L,Yes,Tablet,Weekly,No,Yes,0,2.4,0.7,High
S0066,F,0-25,North,CBSE,None,2L–5L,Yes,Laptop,Weekly,No,No,0,2.8,0.84,High
S0067,M,36-45,South,CBSE,School,>10L,Yes,Tablet,Monthly,No,No,1,3.4,0.88,High
S0068,F,26-35,South,ICSE,None,<2L,Yes,Tablet,Daily,No,Yes,0,1.0,0.71,Low
S0069,F,36-45,East,CBSE,None,5L–10L,Yes,Tablet,Monthly,No,No,0,1.1,0.84,Moderate
S0070,F,26-35,West,State,Graduate,<2L,Yes,Laptop,Monthly,No,No,2,2.7,0.81,Moderate
S0071,F,0-25,South,State,School,2L–5L,Yes,Tablet,Weekly,No,Yes,2,3.9,0.95,High
S0072,M,26-35,East,State,Graduate,2L–5L,Yes,Laptop,Weekly,No,Yes,2,0.5,0.71,High
S0073,F,26-35,North,ICSE,Graduate,<2L,Yes,Mobile,Monthly,No,No,1,1.5,0.78,Moderate
S0074,M,0-25,South,State,None,<2L,Yes,Mobile,Weekly,No,Yes,0,1.5,0.61,High
S0075,F,36-45,East,State,School,2L–5L,Yes,Mobile,Daily,No,Yes,0,1.0,0.61,Low
S0076,F,26-35,West,ICSE,Postgraduate,5L–10L,Yes,Laptop,Daily,No,Yes,0,2.3,0.94,High
S0077,F,26-35,South,CBSE,None,2L–5L,Yes,Mobile,Daily,No,Yes,2,2.7,0.79,High
S0078,M,0-25,South,CBSE,School,<2L,Yes,Mobile,Monthly,No,Yes,2,2.7,0.9,Moderate
S0079,F,36-45,North,CBSE,Graduate,5L–10L,Yes,Mobile,Weekly,No,Yes,0,3.9,0.75,Low
S0080,M,36-45,East,ICSE,None,>10L,Yes,Mobile,Weekly,No,No,1,1.5,0.86,Low
S0081,F,0-25,West,ICSE,Postgraduate,<2L,No,Tablet,Monthly,No,No,0,2.4,0.95,Moderate
S0082,M,0-25,North,State,None,<2L,Yes,Mobile,Monthly,No,Yes,2,0.8,0.82,Moderate
S0083,F,26-35,North,State,Graduate,>10L,No,Laptop,Weekly,No,No,2,2.8,0.95,Low
S0084,M,0-25,North,ICSE,Graduate,>10L,Yes,Tablet,Monthly,No,No,0,3.5,0.68,Moderate
S0085,M,0-25,East,ICSE,School,5L–10L,Yes,Mobile,Weekly,Yes,Yes,1,3.8,0.96,Moderate
S0086,F,0-25,East,State,Postgraduate,2L–5L,Yes,Tablet,Weekly,No,No,1,2.5,0.86,High
S0087,M,36-45,South,State,None,>10L,No,Tablet,Weekly,No,Yes,2,2.9,0.91,High
S0088,F,0-25,East,State,Graduate,<2L,Yes,Laptop,Daily,No,Yes,1,3.4,0.81,Moderate
S0089,F,26-35,North,CBSE,School,<2L,Yes,Laptop,Daily,No,Yes,2,3.5,0.95,High
S0090,F,26-35,East,CBSE,Postgraduate,2L–5L,No,Mobile,Monthly,No,No,0,1.5,0.88,Low
S0091,F,26-35,West,State,Postgraduate,2L–5L,Yes,Tablet,Daily,No,Yes,0,2.8,0.69,High
S0092,F,0-25,South,ICSE,School,5L–10L,Yes,Laptop,Monthly,No,Yes,0,3.8,0.64,Moderate
S0093,F,36-45,North,CBSE,Graduate,2L–5L,Yes,Tablet,Monthly,No,No,0,3.8,0.78,High
S0094,F,0-25,South,State,Postgraduate,2L–5L,Yes,Mobile,Weekly,No,Yes,1,1.2,0.82,High
S0095,F,0-25,East,CBSE,None,<2L,Yes,Tablet,Daily,No,No,0,3.7,0.66,High
S0096,F,26-35,South,ICSE,Graduate,<2L,Yes,Laptop,Monthly,No,Yes,0,3.8,0.79,High
S0097,F,0-25,South,ICSE,Graduate,2L–5L,Yes,Mobile,Monthly,No,No,2,2.4,0.9,High
S0098,F,36-45,East,ICSE,School,5L–10L,Yes,Laptop,Weekly,No,No,1,1.2,0.91,High
S0099,M,26-35,South,State,Postgraduate,>10L,Yes,Tablet,Weekly,No,Yes,0,0.7,0.79,Moderate
S0100,M,36-45,East,State,School,>10L,Yes,Mobile,Monthly,No,Yes,0,1.2,0.61,Low
S0101,F,36-45,North,CBSE,Postgraduate,5L–10L,Yes,Mobile,Weekly,No,Yes,2,1.0,0.9,Moderate
S0102,F,36-45,South,State,School,<2L,No,Mobile,Daily,No,Yes,1,1.2,0.82,Low
S0103,F,0-25,West,State,Graduate,>10L,Yes,Mobile,Daily,No,Yes,0,3.9,0.89,High
S0104,F,0-25,West,State,School,5L–10L,Yes,Mobile,Monthly,No,No,2,1.1,0.99,Moderate
S0105,F,0-25,North,CBSE,Graduate,>10L,Yes,Laptop,Weekly,No,No,2,2.3,0.93,High
S0106,F,0-25,East,State,Graduate,5L–10L,Yes,Mobile,Weekly,No,No,2,1.3,0.6,High
S0107,F,26-35,East,ICSE,School,<2L,Yes,Mobile,Monthly,No,No,0,0.8,0.87,High
S0108,F,0-25,South,State,Postgraduate,2L–5L,Yes,Laptop,Weekly,No,No,2,1.4,1.0,High
S0109,M,26-35,South,State,Graduate,2L–5L,Yes,Tablet,Weekly,No,Yes,0,2.9,0.93,Low
S0110,F,36-45,West,ICSE,School,<2L,Yes,Mobile,Daily,Yes,No,2,1.2,0.98,High
S0111,M,26-35,West,CBSE,Graduate,<2L,Yes,Mobile,Weekly,No,No,2,1.0,0.72,Moderate
S0112,F,0-25,East,State,Graduate,<2L,Yes,Mobile,Daily,No,No,1,0.9,0.72,Low
S0113,F,26-35,West,State,School,2L–5L,No,Tablet,Weekly,No,No,2,1.0,0.96,Moderate
S0114,M,0-25,East,State,Graduate,5L–10L,Yes,Laptop,Daily,No,Yes,1,0.6,0.88,High
S0115,F,0-25,North,State,Graduate,2L–5L,Yes,Laptop,Daily,No,No,0,1.1,0.88,Low
S0116,M,26-35,North,ICSE,School,2L–5L,No,Laptop,Weekly,No,No,1,3.7,0.95,High
S0117,F,26-35,West,State,None,<2L,Yes,Tablet,Monthly,Yes,No,1,4.0,0.7,Low
S0118,F,36-45,South,CBSE,School,5L–10L,Yes,Laptop,Weekly,No,Yes,0,3.1,0.87,High
S0119,M,36-45,West,ICSE,Postgraduate,>10L,No,Mobile,Daily,No,No,2,2.4,0.81,High
S0120,F,36-45,West,ICSE,None,2L–5L,Yes,Laptop,Monthly,No,Yes,2,0.7,0.94,Low
S0121,M,36-45,West,CBSE,Graduate,5L–10L,Yes,Laptop,Monthly,No,Yes,0,3.4,0.97,Moderate
S0122,F,36-45,South,State,Postgraduate,>10L,Yes,Tablet,Weekly,No,No,2,1.1,0.84,Moderate
S0123,M,26-35,West,State,None,5L–10L,Yes,Mobile,Weekly,No,Yes,0,3.1,0.83,High
S0124,M,36-45,South,State,School,<2L,Yes,Tablet,Daily,Yes,No,1,3.9,1.0,Low
S0125,F,26-35,West,CBSE,Graduate,5L–10L,Yes,Tablet,Monthly,No,Yes,0,3.4,0.69,Moderate
S0126,F,36-45,South,ICSE,None,2L–5L,Yes,Tablet,Monthly,No,Yes,2,2.6,0.83,Moderate
S0127,M,0-25,South,State,School,>10L,Yes,Mobile,Weekly,No,No,0,1.2,0.78,Moderate
S0128,F,36-45,South,CBSE,None,>10L,Yes,Mobile,Weekly,Yes,Yes,2,4.0,0.65,High
S0129,F,0-25,South,CBSE,School,>10L,No,Tablet,Weekly,No,No,2,0.8,0.68,High
S0130,F,26-35,South,State,Postgraduate,5L–10L,Yes,Laptop,Weekly,No,Yes,2,3.1,0.63,Low
S0131,M,36-45,North,CBSE,Postgraduate,>10L,No,Tablet,Monthly,No,Yes,0,1.5,0.95,High
S0132,M,26-35,East,State,Graduate,>10L,Yes,Mobile,Weekly,No,Yes,2,0.6,0.7,High
S0133,M,36-45,East,State,School,<2L,Yes,Laptop,Monthly,No,Yes,2,1.6,0.99,Moderate
S0134,M,26-35,South,State,None,2L–5L,Yes,Laptop,Weekly,No,Yes,0,2.8,0.71,Moderate
S0135,M,36-45,East,ICSE,Graduate,>10L,Yes,Mobile,Daily,No,Yes,0,3.7,0.63,Moderate
S0136,M,36-45,South,CBSE,Graduate,5L–10L,Yes,Tablet,Monthly,No,No,1,0.7,0.84,Moderate
S0137,M,0-25,West,ICSE,School,2L–5L,Yes,Mobile,Daily,No,No,1,3.3,0.83,High
S0138,M,26-35,North,State,Postgraduate,>10L,Yes,Tablet,Monthly,No,Yes,2,2.4,0.84,High
S0139,M,26-35,West,CBSE,Graduate,2L–5L,Yes,Tablet,Daily,No,No,2,2.2,0.86,Moderate
S0140,F,26-35,West,State,None,>10L,Yes,Tablet,Monthly,No,Yes,2,3.1,0.74,High
S0141,M,26-35,South,CBSE,Graduate,>10L,No,Tablet,Monthly,No,Yes,1,1.3,0.94,High
S0142,F,26-35,West,State,School,>10L,Yes,Mobile,Monthly,No,No,2,2.8,0.82,Low
S0143,F,0-25,North,CBSE,Postgraduate,<2L,Yes,Tablet,Monthly,No,No,1,1.6,0.91,Moderate
S0144,F,36-45,West,State,School,2L–5L,Yes,Laptop,Daily,No,Yes,1,2.7,0.68,High
S0145,M,0-25,North,State,Graduate,<2L,Yes,Mobile,Monthly,No,No,1,0.6,0.96,High
S0146,M,26-35,North,ICSE,None,<2L,Yes,Tablet,Weekly,No,No,1,3.8,0.7,High
S0147,M,26-35,South,ICSE,Graduate,5L–10L,Yes,Laptop,Monthly,No,Yes,0,3.7,0.61,High
S0148,M,36-45,North,CBSE,Graduate,>10L,Yes,Tablet,Monthly,No,No,0,3.8,0.85,High
S0149,F,0-25,West,CBSE,Postgraduate,<2L,Yes,Mobile,Weekly,No,Yes,2,0.8,0.97,High
S0150,M,36-45,South,ICSE,School,5L–10L,Yes,Laptop,Weekly,No,Yes,2,1.0,0.94,Moderate
S0151,M,36-45,North,State,Postgraduate,2L–5L,Yes,Laptop,Monthly,No,Yes,0,3.7,0.98,Low
S0152,M,0-25,North,State,Graduate,2L–5L,Yes,Tablet,Daily,No,Yes,2,3.0,0.84,Low
S0153,M,36-45,East,CBSE,None,<2L,Yes,Tablet,Weekly,No,Yes,0,2.1,0.63,High
S0154,M,0-25,South,CBSE,None,5L–10L,Yes,Tablet,Monthly,No,Yes,0,1.5,0.68,High
S0155,F,0-25,East,State,Postgraduate,>10L,Yes,Mobile,Monthly,No,No,2,3.5,0.6,High
S0156,M,26-35,North,ICSE,None,2L–5L,Yes,Mobile,Monthly,No,No,1,3.4,0.69,High
S0157,F,36-45,East,CBSE,None,5L–10L,Yes,Tablet,Weekly,No,Yes,1,1.4,0.8,Moderate
S0158,M,26-35,West,State,None,2L–5L,Yes,Tablet,Weekly,No,Yes,1,2.2,0.92,Moderate
S0159,F,36-45,West,CBSE,Graduate,>10L,Yes,Laptop,Weekly,No,Yes,0,2.7,0.63,Moderate
S0160,M,36-45,North,ICSE,None,5L–10L,Yes,Laptop,Monthly,No,Yes,2,0.9,0.66,Moderate
S0161,M,26-35,East,CBSE,Postgraduate,>10L,Yes,Laptop,Daily,No,Yes,2,3.9,0.75,Moderate
S0162,F,26-35,East,State,None,<2L,Yes,Laptop,Monthly,No,Yes,1,3.3,0.72,Low
S0163,F,26-35,South,ICSE,Graduate,>10L,Yes,Tablet,Daily,No,No,2,2.8,0.65,Low
S0164,F,0-25,West,State,Graduate,2L–5L,Yes,Mobile,Daily,No,No,0,3.5,0.95,High
S0165,M,36-45,West,ICSE,None,<2L,Yes,Laptop,Weekly,No,No,2,1.0,0.97,Moderate
S0166,F,0-25,South,State,Postgraduate,>10L,Yes,Mobile,Weekly,No,Yes,2,2.9,0.81,High
S0167,M,36-45,West,CBSE,None,<2L,Yes,Mobile,Monthly,No,No,2,0.8,0.73,High
S0168,M,36-45,East,ICSE,School,>10L,Yes,Mobile,Monthly,No,No,1,1.1,0.76,Moderate
S0169,F,0-25,East,ICSE,Postgraduate,5L–10L,No,Laptop,Weekly,No,No,0,1.4,0.87,High
S0170,F,0-25,West,ICSE,Postgraduate,<2L,Yes,Laptop,Monthly,No,Yes,2,2.3,0.75,Moderate
S0171,M,36-45,South,CBSE,Postgraduate,>10L,Yes,Laptop,Daily,No,No,2,1.0,0.76,Moderate
S0172,M,26-35,North,ICSE,Postgraduate,<2L,Yes,Laptop,Monthly,No,No,1,2.8,0.7,High
S0173,F,26-35,North,CBSE,Postgraduate,>10L,Yes,Tablet,Monthly,No,Yes,1,0.9,0.92,High
S0174,F,26-35,North,CBSE,None,>10L,Yes,Laptop,Monthly,No,Yes,0,1.5,0.83,Moderate
S0175,F,26-35,North,ICSE,None,<2L,Yes,Mobile,Daily,No,Yes,1,3.1,0.65,High
S0176,M,36-45,East,State,Postgraduate,<2L,Yes,Tablet,Weekly,No,Yes,0,3.0,0.95,High
S0177,M,26-35,North,ICSE,Postgraduate,5L–10L,Yes,Laptop,Weekly,No,No,1,3.6,0.62,Low
S0178,M,26-35,East,State,School,5L–10L,Yes,Laptop,Weekly,No,Yes,2,2.5,0.67,High
S0179,M,26-35,East,State,Graduate,<2L,Yes,Laptop,Daily,No,Yes,1,3.5,0.74,High
S0180,M,36-45,North,ICSE,Graduate,2L–5L,Yes,Mobile,Weekly,No,No,2,3.5,0.99,Moderate
S0181,M,0-25,North,ICSE,Postgraduate,>10L,Yes,Laptop,Weekly,No,Yes,2,2.1,0.77,Moderate
S0182,F,26-35,North,State,Postgraduate,<2L,Yes,Mobile,Weekly,No,Yes,2,3.5,0.77,Moderate
S0183,M,36-45,West,ICSE,Graduate,<2L,Yes,Laptop,Daily,No,No,2,3.0,0.96,Moderate
S0184,M,36-45,West,ICSE,None,>10L,Yes,Laptop,Monthly,No,No,1,1.1,0.86,Low
S0185,M,26-35,South,CBSE,School,2L–5L,Yes,Mobile,Daily,No,Yes,0,2.6,1.0,Moderate
S0186,F,0-25,East,State,School,2L–5L,Yes,Laptop,Daily,No,Yes,1,1.9,0.83,Low
S0187,M,0-25,North,CBSE,Postgraduate,<2L,Yes,Laptop,Daily,No,Yes,1,1.6,0.74,Low
S0188,M,0-25,West,ICSE,None,5L–10L,Yes,Tablet,Daily,No,Yes,1,2.6,0.92,Moderate
S0189,F,36-45,South,ICSE,None,5L–10L,Yes,Tablet,Daily,No,Yes,2,2.2,0.76,High
S0190,M,26-35,East,CBSE,None,2L–5L,Yes,Laptop,Weekly,No,Yes,0,4.0,0.97,Moderate
S0191,M,26-35,East,CBSE,None,>10L,Yes,Mobile,Daily,No,No,2,3.9,0.99,Moderate
S0192,M,36-45,East,ICSE,Postgraduate,<2L,Yes,Mobile,Monthly,No,Yes,0,2.8,0.87,Moderate
S0193,M,26-35,West,State,Graduate,<2L,Yes,Tablet,Daily,No,No,1,1.3,0.68,Low
S0194,M,26-35,North,CBSE,Postgraduate,<2L,Yes,Tablet,Daily,No,Yes,1,2.6,0.73,High
S0195,F,0-25,North,State,School,>10L,Yes,Tablet,Monthly,No,No,1,1.1,0.64,High
S0196,F,26-35,East,ICSE,School,>10L,Yes,Mobile,Daily,No,No,2,3.3,0.65,High
S0197,F,26-35,East,State,Postgraduate,<2L,No,Mobile,Monthly,No,No,0,3.9,0.88,Low
S0198,M,36-45,South,State,School,<2L,Yes,Mobile,Monthly,No,Yes,0,1.3,0.77,High
S0199,M,36-45,South,ICSE,Graduate,>10L,Yes,Laptop,Weekly,No,Yes,1,2.0,0.88,High
S0200,M,0-25,East,ICSE,Graduate,2L–5L,Yes,Laptop,Monthly,No,Yes,1,1.5,0.64,Low
S0201,F,36-45,South,ICSE,Postgraduate,5L–10L,Yes,Laptop,Daily,No,No,2,0.5,0.8,Moderate
S0202,M,0-25,West,State,School,2L–5L,Yes,Tablet,Weekly,No,Yes,1,3.9,0.95,High
S0203,M,0-25,East,CBSE,Graduate,2L–5L,Yes,Tablet,Monthly,No,No,1,2.6,0.79,High
S0204,F,26-35,South,ICSE,Graduate,<2L,Yes,Tablet,Daily,No,Yes,0,3.3,0.79,Moderate
S0205,M,0-25,East,ICSE,School,2L–5L,Yes,Tablet,Weekly,No,No,2,4.0,0.89,High
S0206,F,26-35,North,CBSE,None,<2L,Yes,Tablet,Daily,No,No,1,1.0,0.95,High
S0207,F,0-25,West,ICSE,School,>10L,Yes,Mobile,Monthly,No,Yes,2,0.9,0.9,Low
S0208,F,36-45,East,ICSE,Postgraduate,2L–5L,Yes,Laptop,Daily,No,No,2,2.6,0.62,High
S0209,M,36-45,North,CBSE,None,<2L,Yes,Tablet,Monthly,No,Yes,0,3.0,0.83,Low
S0210,M,36-45,East,State,Postgraduate,5L–10L,Yes,Laptop,Monthly,No,Yes,2,1.7,0.82,Moderate
S0211,M,0-25,North,State,Graduate,<2L,Yes,Laptop,Monthly,No,No,2,2.3,0.76,Low
S0212,M,0-25,South,State,None,<2L,No,Tablet,Weekly,No,Yes,0,1.2,0.62,Low
S0213,M,26-35,North,ICSE,Postgraduate,5L–10L,Yes,Mobile,Daily,No,Yes,2,2.7,0.73,High
S0214,M,26-35,West,CBSE,Postgraduate,<2L,Yes,Mobile,Daily,No,No,1,1.0,0.77,High
S0215,M,26-35,West,State,Postgraduate,<2L,Yes,Mobile,Daily,No,Yes,1,1.7,0.89,High
S0216,F,26-35,South,CBSE,None,5L–10L,Yes,Mobile,Daily,No,Yes,1,0.6,0.82,Moderate
S0217,M,0-25,East,State,Postgraduate,<2L,Yes,Laptop,Monthly,No,No,1,2.1,0.95,Low
S0218,F,0-25,West,State,None,2L–5L,Yes,Mobile,Daily,No,No,1,1.3,0.77,Moderate
S0219,M,26-35,South,ICSE,None,<2L,Yes,Mobile,Monthly,No,Yes,1,0.6,0.7,High
S0220,M,0-25,West,State,Postgraduate,2L–5L,Yes,Tablet,Monthly,No,Yes,2,3.8,0.74,Moderate
S0221,M,0-25,South,State,Graduate,5L–10L,Yes,Mobile,Weekly,Yes,No,0,1.4,0.94,High
S0222,F,0-25,West,CBSE,School,2L–5L,Yes,Laptop,Monthly,No,Yes,2,3.9,0.65,Moderate
S0223,F,0-25,South,ICSE,School,5L–10L,Yes,Tablet,Weekly,No,Yes,1,3.4,0.84,Low
S0224,F,26-35,West,ICSE,None,<2L,Yes,Laptop,Daily,No,No,2,3.3,0.98,High
S0225,F,26-35,East,State,Postgraduate,<2L,Yes,Tablet,Weekly,No,No,2,3.3,0.61,High
S0226,M,0-25,North,ICSE,School,5L–10L,Yes,Mobile,Monthly,No,No,2,0.9,0.82,Moderate
S0227,F,36-45,West,CBSE,School,2L–5L,Yes,Laptop,Weekly,No,Yes,2,3.3,0.85,High
S0228,M,26-35,South,ICSE,Postgraduate,2L–5L,Yes,Laptop,Daily,No,Yes,0,3.4,0.67,High
S0229,M,26-35,East,State,School,2L–5L,No,Mobile,Daily,No,No,1,1.2,0.81,High
S0230,F,36-45,West,ICSE,Postgraduate,2L–5L,Yes,Tablet,Daily,No,No,2,3.7,0.63,Moderate
S0231,F,26-35,South,ICSE,School,<2L,Yes,Mobile,Daily,No,Yes,0,1.4,0.68,High
S0232,F,36-45,North,State,Graduate,2L–5L,Yes,Laptop,Daily,No,Yes,1,3.8,0.83,High
S0233,F,36-45,South,ICSE,Postgraduate,>10L,Yes,Mobile,Daily,No,No,0,1.0,0.87,High
S0234,F,0-25,West,ICSE,School,5L–10L,Yes,Tablet,Monthly,No,No,1,3.9,0.95,Low
S0235,F,26-35,South,State,None,2L–5L,Yes,Mobile,Monthly,No,No,1,3.9,0.83,Low
S0236,F,36-45,South,State,Postgraduate,5L–10L,Yes,Tablet,Monthly,No,No,2,1.6,0.84,High
S0237,F,0-25,North,CBSE,School,5L–10L,Yes,Tablet,Daily,No,No,0,2.9,0.77,High
S0238,M,26-35,West,State,Graduate,<2L,No,Tablet,Daily,No,Yes,1,3.9,0.82,High
S0239,F,0-25,West,State,School,5L–10L,Yes,Laptop,Weekly,No,Yes,1,1.8,0.84,High
S0240,F,0-25,North,ICSE,None,2L–5L,Yes,Tablet,Weekly,No,No,0,3.4,0.77,Moderate
S0241,M,36-45,East,State,Postgraduate,>10L,Yes,Mobile,Monthly,No,Yes,2,1.1,0.71,Low
S0242,F,26-35,South,ICSE,Graduate,2L–5L,Yes,Mobile,Daily,No,No,2,3.3,0.95,Low
S0243,M,0-25,South,State,School,<2L,Yes,Mobile,Daily,No,No,1,0.8,0.79,High
S0244,M,36-45,South,CBSE,None,2L–5L,Yes,Laptop,Monthly,No,No,2,1.5,0.81,High
