student_id,assessment_id,score,weight
S0020,A5,85.35,0.2
S0021,A1,64.36,0.2
S0021,A2,49.31,0.2
S0021,A3,53.79,0.2
S0021,A4,62.04,0.2
S0021,A5,61.16,0.2
S0022,A1,64.45,0.2
S0022,A2,47.9,0.2
S0022,A3,47.1,0.2
S0022,A4,59.21,0.2
S0022,A5,64.67,0.2
S0023,A1,83.22,0.2
S0023,A2,81.89,0.2
S0023,A3,73.59,0.2
S0023,A4,74.89,0.2
S0023,A5,78.88,0.2
S0024,A1,84.51,0.2
S0024,A2,86.07,0.2
S0024,A3,81.52,0.2
S0024,A4,80.82,0.2
S0024,A5,70.42,0.2
S0025,A1,75.47,0.2
S0025,A2,74.67,0.2
S0025,A3,74.95,0.2
S0025,A4,79.04,0.2
S0025,A5,79.62,0.2
S0026,A1,28.51,0.2
S0026,A2,18.3,0.2
S0026,A3,26.38,0.2
S0026,A4,20.63,0.2
S0026,A5,31.2,0.2
S0027,A1,44.49,0.2
S0027,A2,71.56,0.2
S0027,A3,67.91,0.2
S0027,A4,53.06,0.2
S0027,A5,57.76,0.2
S0028,A1,85.13,0.2
S0028,A2,85.81,0.2
S0028,A3,79.74,0.2
S0028,A4,74.52,0.2
S0028,A5,76.83,0.2
S0029,A1,83.37,0.2
S0029,A2,76.78,0.2
S0029,A3,79.31,0.2
S0029,A4,77.84,0.2
S0029,A5,88.0,0.2
S0030,A1,23.93,0.2
S0030,A2,54.96,0.2
S0030,A3,52.47,0.2
S0030,A4,51.77,0.2
S0030,A5,31.95,0.2
S0031,A1,87.39,0.2
S0031,A2,83.17,0.2
S0031,A3,79.2,0.2
S0031,A4,84.53,0.2
S0031,A5,84.21,0.2
S0032,A1,44.56,0.2
S0032,A2,46.64,0.2
S0032,A3,30.42,0.2
S0032,A4,18.38,0.2
S0032,A5,47.4,0.2
S0033,A1,52.54,0.2
S0033,A2,38.29,0.2
S0033,A3,33.47,0.2
S0033,A4,59.28,0.2
S0033,A5,29.96,0.2
S0034,A1,79.45,0.2
S0034,A2,78.64,0.2
S0034,A3,77.05,0.2
S0034,A4,77.68,0.2
S0034,A5,82.83,0.2
S0035,A1,79.26,0.2
S0035,A2,77.72,0.2
S0035,A3,70.06,0.2
S0035,A4,78.96,0.2
S0035,A5,79.55,0.2
S0036,A1,82.22,0.2
S0036,A2,80.82,0.2
S0036,A3,95.72,0.2
S0036,A4,84.8,0.2
S0036,A5,79.53,0.2
S0037,A1,66.59,0.2
S0037,A2,59.6,0.2
S0037,A3,48.4,0.2
S0037,A4,61.66,0.2
S0037,A5,61.02,0.2
S0038,A1,77.14,0.2
S0038,A2,75.46,0.2
S0038,A3,77.16,0.2
S0038,A4,78.15,0.2
S0038,A5,80.71,0.2
S0039,A1,56.04,0.2
S0039,A2,37.57,0.2
S0039,A3,35.38,0.2
S0039,A4,39.3,0.2
S0039,A5,29.03,0.2
S0040,A1,56.26,0.2
S0040,A2,31.39,0.2
S0040,A3,29.72,0.2
S0040,A4,36.79,0.2
S0040,A5,35.78,0.2
S0041,A1,50.58,0.2
S0041,A2,62.21,0.2
S0041,A3,75.91,0.2
S0041,A4,71.66,0.2
S0041,A5,62.55,0.2
S0042,A1,35.35,0.2
S0042,A2,57.28,0.2
S0042,A3,49.48,0.2
S0042,A4,33.81,0.2
S0042,A5,0.0,0.2
S0043,A1,82.42,0.2
S0043,A2,83.38,0.2
S0043,A3,82.18,0.2
S0043,A4,81.48,0.2
S0043,A5,83.11,0.2
S0044,A1,37.33,0.2
S0044,A2,55.73,0.2
S0044,A3,39.59,0.2
S0044,A4,46.68,0.2
S0044,A5,54.99,0.2
S0045,A1,39.47,0.2
S0045,A2,59.74,0.2
S0045,A3,41.42,0.2
S0045,A4,53.23,0.2
S0045,A5,18.7,0.2
S0046,A1,62.39,0.2
S0046,A2,59.98,0.2
S0046,A3,70.39,0.2
S0046,A4,75.51,0.2
S0046,A5,59.08,0.2
S0047,A1,82.52,0.2
S0047,A2,80.56,0.2
S0047,A3,83.21,0.2
S0047,A4,75.51,0.2
S0047,A5,78.14,0.2
S0048,A1,78.18,0.2
S0048,A2,86.96,0.2
S0048,A3,84.39,0.2
S0048,A4,81.92,0.2
S0048,A5,68.75,0.2
S0049,A1,54.85,0.2
S0049,A2,53.9,0.2
S0049,A3,47.0,0.2
S0049,A4,59.44,0.2
S0049,A5,67.16,0.2
S0050,A1,80.92,0.2
S0050,A2,81.74,0.2
S0050,A3,78.08,0.2
S0050,A4,68.99,0.2
S0050,A5,82.54,0.2
S0051,A1,86.59,0.2
S0051,A2,84.4,0.2
S0051,A3,74.01,0.2
S0051,A4,68.38,0.2
S0051,A5,73.3,0.2
S0052,A1,83.55,0.2
S0052,A2,87.58,0.2
S0052,A3,86.53,0.2
S0052,A4,83.8,0.2
S0052,A5,81.79,0.2
S0053,A1,76.67,0.2
S0053,A2,72.68,0.2
S0053,A3,76.57,0.2
S0053,A4,79.81,0.2
S0053,A5,74.26,0.2
S0054,A1,55.65,0.2
S0054,A2,64.74,0.2
S0054,A3,52.55,0.2
S0054,A4,43.86,0.2
S0054,A5,64.34,0.2
S0055,A1,76.66,0.2
S0055,A2,77.75,0.2
S0055,A3,80.8,0.2
S0055,A4,82.97,0.2
S0055,A5,84.3,0.2
S0056,A1,81.91,0.2
S0056,A2,71.13,0.2
S0056,A3,81.21,0.2
S0056,A4,79.15,0.2
S0056,A5,84.15,0.2
S0057,A1,90.61,0.2
S0057,A2,78.59,0.2
S0057,A3,73.17,0.2
S0057,A4,84.45,0.2
S0057,A5,87.41,0.2
S0058,A1,67.75,0.2
S0058,A2,89.08,0.2
S0058,A3,83.74,0.2
S0058,A4,75.86,0.2
S0058,A5,87.2,0.2
S0059,A1,82.53,0.2
S0059,A2,81.89,0.2
S0059,A3,87.99,0.2
S0059,A4,77.46,0.2
S0059,A5,84.29,0.2
S0060,A1,73.92,0.2
S0060,A2,69.44,0.2
S0060,A3,38.27,0.2
S0060,A4,68.04,0.2
S0060,A5,70.55,0.2
S0061,A1,78.02,0.2
S0061,A2,76.06,0.2
S0061,A3,84.09,0.2
S0061,A4,71.84,0.2
S0061,A5,78.0,0.2
S0062,A1,77.49,0.2
S0062,A2,75.58,0.2
S0062,A3,71.12,0.2
S0062,A4,70.83,0.2
S0062,A5,85.71,0.2
S0063,A1,76.21,0.2
S0063,A2,77.85,0.2
S0063,A3,78.45,0.2
S0063,A4,76.82,0.2
S0063,A5,77.86,0.2
S0064,A1,58.31,0.2
S0064,A2,68.51,0.2
S0064,A3,64.57,0.2
S0064,A4,63.07,0.2
S0064,A5,69.65,0.2
S0065,A1,75.19,0.2
S0065,A2,80.9,0.2
S0065,A3,74.72,0.2
S0065,A4,84.17,0.2
S0065,A5,86.22,0.2
S0066,A1,75.44,0.2
S0066,A2,87.35,0.2
S0066,A3,81.02,0.2
S0066,A4,74.75,0.2
S0066,A5,70.13,0.2
S0067,A1,84.47,0.2
S0067,A2,82.63,0.2
S0067,A3,70.22,0.2
S0067,A4,78.42,0.2
S0067,A5,78.36,0.2
S0068,A1,50.01,0.2
S0068,A2,32.18,0.2
S0068,A3,35.0,0.2
S0068,A4,29.13,0.2
S0068,A5,42.61,0.2
S0069,A1,60.79,0.2
S0069,A2,72.41,0.2
S0069,A3,49.18,0.2
S0069,A4,59.61,0.2
S0069,A5,63.12,0.2
S0070,A1,65.79,0.2
S0070,A2,55.78,0.2
S0070,A3,39.38,0.2
S0070,A4,53.35,0.2
S0070,A5,70.35,0.2
S0071,A1,77.37,0.2
S0071,A2,80.39,0.2
S0071,A3,87.93,0.2
S0071,A4,87.92,0.2
S0071,A5,77.67,0.2
S0072,A1,67.94,0.2
S0072,A2,83.43,0.2
S0072,A3,78.66,0.2
S0072,A4,83.28,0.2
S0072,A5,81.89,0.2
S0073,A1,56.91,0.2
S0073,A2,50.77,0.2
S0073,A3,60.84,0.2
S0073,A4,73.81,0.2
S0073,A5,54.26,0.2
S0074,A1,73.61,0.2
S0074,A2,79.88,0.2
S0074,A3,74.02,0.2
S0074,A4,80.2,0.2
S0074,A5,82.17,0.2
S0075,A1,61.95,0.2
S0075,A2,32.49,0.2
S0075,A3,47.51,0.2
S0075,A4,40.54,0.2
S0075,A5,70.22,0.2
S0076,A1,78.63,0.2
S0076,A2,79.07,0.2
S0076,A3,73.48,0.2
S0076,A4,74.31,0.2
S0076,A5,85.03,0.2
S0077,A1,79.89,0.2
S0077,A2,76.16,0.2
S0077,A3,73.81,0.2
S0077,A4,89.21,0.2
S0077,A5,85.12,0.2
S0078,A1,58.66,0.2
S0078,A2,62.12,0.2
S0078,A3,47.43,0.2
S0078,A4,64.45,0.2
S0078,A5,63.51,0.2
S0079,A1,48.53,0.2
S0079,A2,18.83,0.2
S0079,A3,18.72,0.2
S0079,A4,35.14,0.2
S0079,A5,20.65,0.2
S0080,A1,19.35,0.2
S0080,A2,38.81,0.2
S0080,A3,22.34,0.2
S0080,A4,35.41,0.2
S0080,A5,54.94,0.2
S0081,A1,46.28,0.2
S0081,A2,39.97,0.2
S0081,A3,46.55,0.2
S0081,A4,61.38,0.2
S0081,A5,65.28,0.2
S0082,A1,79.08,0.2
S0082,A2,57.06,0.2
S0082,A3,67.64,0.2
S0082,A4,72.2,0.2
S0082,A5,72.76,0.2
S0083,A1,27.42,0.2
S0083,A2,43.4,0.2
S0083,A3,38.71,0.2
S0083,A4,42.59,0.2
S0083,A5,54.11,0.2
S0084,A1,62.45,0.2
S0084,A2,61.88,0.2
S0084,A3,59.9,0.2
S0084,A4,51.38,0.2
S0084,A5,65.87,0.2
S0085,A1,40.4,0.2
S0085,A2,57.17,0.2
S0085,A3,70.51,0.2
S0085,A4,68.53,0.2
S0085,A5,60.66,0.2
S0086,A1,86.9,0.2
S0086,A2,74.46,0.2
S0086,A3,80.85,0.2
S0086,A4,78.81,0.2
S0086,A5,80.94,0.2
S0087,A1,72.0,0.2
S0087,A2,79.98,0.2
S0087,A3,86.18,0.2
S0087,A4,83.08,0.2
S0087,A5,72.42,0.2
S0088,A1,45.98,0.2
S0088,A2,61.02,0.2
S0088,A3,49.85,0.2
S0088,A4,46.23,0.2
S0088,A5,51.06,0.2
S0089,A1,78.69,0.2
S0089,A2,81.91,0.2
S0089,A3,86.01,0.2
S0089,A4,85.79,0.2
S0089,A5,81.96,0.2
S0090,A1,73.93,0.2
S0090,A2,26.2,0.2
S0090,A3,53.44,0.2
S0090,A4,61.53,0.2
S0090,A5,33.29,0.2
S0091,A1,69.61,0.2
S0091,A2,83.19,0.2
S0091,A3,79.3,0.2
S0091,A4,84.13,0.2
S0091,A5,78.55,0.2
S0092,A1,59.13,0.2
S0092,A2,68.48,0.2
S0092,A3,67.11,0.2
S0092,A4,61.15,0.2
S0092,A5,66.49,0.2
S0093,A1,81.49,0.2
S0093,A2,87.06,0.2
S0093,A3,76.75,0.2
S0093,A4,86.59,0.2
S0093,A5,83.48,0.2
S0094,A1,70.96,0.2
S0094,A2,79.9,0.2
S0094,A3,77.13,0.2
S0094,A4,80.04,0.2
S0094,A5,88.09,0.2
S0095,A1,82.64,0.2
S0095,A2,78.75,0.2
S0095,A3,82.28,0.2
S0095,A4,74.97,0.2
S0095,A5,79.95,0.2
S0096,A1,78.32,0.2
S0096,A2,83.71,0.2
S0096,A3,76.86,0.2
S0096,A4,84.26,0.2
S0096,A5,82.25,0.2
S0097,A1,90.98,0.2
S0097,A2,75.9,0.2
S0097,A3,77.0,0.2
S0097,A4,82.19,0.2
S0097,A5,77.48,0.2
S0098,A1,76.27,0.2
S0098,A2,80.08,0.2
S0098,A3,74.62,0.2
S0098,A4,78.47,0.2
S0098,A5,79.16,0.2
S0099,A1,69.52,0.2
S0099,A2,68.87,0.2
S0099,A3,59.65,0.2
S0099,A4,53.51,0.2
S0099,A5,75.46,0.2
S0100,A1,54.18,0.2
S0100,A2,28.75,0.2
S0100,A3,56.37,0.2
S0100,A4,45.84,0.2
S0100,A5,44.23,0.2
S0101,A1,57.6,0.2
S0101,A2,65.99,0.2
S0101,A3,77.3,0.2
S0101,A4,50.84,0.2
S0101,A5,55.73,0.2
S0102,A1,52.4,0.2
S0102,A2,47.62,0.2
S0102,A3,40.74,0.2
S0102,A4,40.35,0.2
S0102,A5,57.05,0.2
S0103,A1,86.81,0.2
S0103,A2,80.19,0.2
S0103,A3,85.35,0.2
S0103,A4,88.13,0.2
S0103,A5,86.38,0.2
S0104,A1,75.43,0.2
S0104,A2,61.77,0.2
S0104,A3,59.78,0.2
S0104,A4,57.08,0.2
S0104,A5,53.44,0.2
S0105,A1,91.44,0.2
S0105,A2,78.98,0.2
S0105,A3,78.09,0.2
S0105,A4,93.37,0.2
S0105,A5,68.69,0.2
S0106,A1,74.75,0.2
S0106,A2,73.89,0.2
S0106,A3,80.65,0.2
S0106,A4,86.88,0.2
S0106,A5,77.98,0.2
S0107,A1,73.3,0.2
S0107,A2,79.23,0.2
S0107,A3,73.85,0.2
S0107,A4,76.45,0.2
S0107,A5,82.07,0.2
S0108,A1,80.74,0.2
S0108,A2,77.76,0.2
S0108,A3,69.24,0.2
S0108,A4,79.56,0.2
S0108,A5,75.35,0.2
S0109,A1,38.29,0.2
S0109,A2,44.07,0.2
S0109,A3,22.55,0.2
S0109,A4,50.19,0.2
S0109,A5,42.86,0.2
S0110,A1,78.53,0.2
S0110,A2,81.84,0.2
S0110,A3,85.46,0.2
S0110,A4,89.97,0.2
S0110,A5,84.68,0.2
S0111,A1,49.48,0.2
S0111,A2,70.24,0.2
S0111,A3,46.76,0.2
S0111,A4,76.39,0.2
S0111,A5,46.95,0.2
S0112,A1,28.73,0.2
S0112,A2,49.92,0.2
S0112,A3,9.2,0.2
S0112,A4,54.22,0.2
S0112,A5,34.83,0.2
S0113,A1,65.86,0.2
S0113,A2,63.43,0.2
S0113,A3,69.82,0.2
S0113,A4,58.59,0.2
S0113,A5,77.81,0.2
S0114,A1,79.85,0.2
S0114,A2,75.65,0.2
S0114,A3,80.48,0.2
S0114,A4,84.83,0.2
S0114,A5,79.79,0.2
S0115,A1,25.92,0.2
S0115,A2,33.42,0.2
S0115,A3,71.51,0.2
S0115,A4,31.61,0.2
S0115,A5,21.84,0.2
S0116,A1,74.32,0.2
S0116,A2,86.92,0.2
S0116,A3,75.78,0.2
S0116,A4,82.3,0.2
S0116,A5,72.11,0.2
S0117,A1,32.77,0.2
S0117,A2,26.42,0.2
S0117,A3,28.54,0.2
S0117,A4,46.33,0.2
S0117,A5,20.54,0.2
S0118,A1,79.92,0.2
S0118,A2,83.06,0.2
S0118,A3,74.53,0.2
S0118,A4,81.04,0.2
S0118,A5,81.38,0.2
S0119,A1,81.31,0.2
S0119,A2,72.74,0.2
S0119,A3,83.65,0.2
S0119,A4,66.75,0.2
S0119,A5,74.58,0.2
S0120,A1,53.67,0.2
S0120,A2,18.01,0.2
S0120,A3,23.94,0.2
S0120,A4,70.69,0.2
S0120,A5,29.51,0.2
S0121,A1,71.36,0.2
S0121,A2,50.36,0.2
S0121,A3,58.94,0.2
S0121,A4,68.01,0.2
S0121,A5,72.46,0.2
S0122,A1,64.16,0.2
S0122,A2,67.81,0.2
S0122,A3,56.34,0.2
S0122,A4,66.35,0.2
S0122,A5,56.69,0.2
S0123,A1,84.28,0.2
S0123,A2,84.06,0.2
S0123,A3,84.64,0.2
S0123,A4,89.72,0.2
S0123,A5,76.13,0.2
S0124,A1,46.43,0.2
S0124,A2,74.0,0.2
S0124,A3,51.62,0.2
S0124,A4,40.01,0.2
S0124,A5,7.63,0.2
S0125,A1,53.9,0.2
S0125,A2,56.81,0.2
S0125,A3,66.87,0.2
S0125,A4,68.08,0.2
S0125,A5,63.53,0.2
S0126,A1,73.8,0.2
S0126,A2,56.34,0.2
S0126,A3,74.36,0.2
S0126,A4,67.0,0.2
S0126,A5,52.95,0.2
S0127,A1,67.87,0.2
S0127,A2,67.68,0.2
S0127,A3,55.15,0.2
S0127,A4,67.11,0.2
S0127,A5,52.77,0.2
S0128,A1,84.04,0.2
S0128,A2,78.85,0.2
S0128,A3,71.42,0.2
S0128,A4,81.46,0.2
S0128,A5,75.42,0.2
S0129,A1,83.37,0.2
S0129,A2,76.17,0.2
S0129,A3,79.67,0.2
S0129,A4,79.31,0.2
S0129,A5,72.86,0.2
S0130,A1,32.98,0.2
S0130,A2,58.21,0.2
S0130,A3,45.01,0.2
S0130,A4,30.27,0.2
S0130,A5,13.95,0.2
S0131,A1,82.9,0.2
S0131,A2,87.89,0.2
S0131,A3,72.52,0.2
S0131,A4,83.41,0.2
S0131,A5,77.34,0.2
S0132,A1,92.2,0.2
S0132,A2,81.0,0.2
S0132,A3,82.37,0.2
S0132,A4,76.34,0.2
S0132,A5,81.34,0.2
S0133,A1,67.68,0.2
S0133,A2,61.29,0.2
S0133,A3,42.47,0.2
S0133,A4,63.19,0.2
S0133,A5,48.66,0.2
S0134,A1,57.8,0.2
S0134,A2,60.08,0.2
S0134,A3,64.83,0.2
S0134,A4,55.75,0.2
S0134,A5,62.62,0.2
S0135,A1,43.09,0.2
S0135,A2,68.33,0.2
S0135,A3,69.26,0.2
S0135,A4,72.77,0.2
S0135,A5,71.57,0.2
S0136,A1,60.07,0.2
S0136,A2,68.53,0.2
S0136,A3,61.26,0.2
S0136,A4,46.67,0.2
S0136,A5,57.35,0.2
S0137,A1,89.02,0.2
S0137,A2,79.19,0.2
S0137,A3,70.24,0.2
S0137,A4,76.08,0.2
S0137,A5,80.15,0.2
S0138,A1,80.88,0.2
S0138,A2,82.85,0.2
S0138,A3,80.44,0.2
S0138,A4,86.8,0.2
S0138,A5,82.82,0.2
S0139,A1,57.74,0.2
S0139,A2,35.37,0.2
S0139,A3,58.3,0.2
S0139,A4,54.48,0.2
S0139,A5,51.38,0.2
S0140,A1,78.45,0.2
S0140,A2,80.65,0.2
S0140,A3,75.79,0.2
S0140,A4,74.98,0.2
S0140,A5,81.93,0.2
S0141,A1,76.04,0.2
S0141,A2,80.97,0.2
S0141,A3,78.83,0.2
S0141,A4,84.46,0.2
S0141,A5,79.42,0.2
S0142,A1,25.05,0.2
S0142,A2,37.33,0.2
S0142,A3,37.4,0.2
S0142,A4,44.59,0.2
S0142,A5,35.31,0.2
S0143,A1,64.39,0.2
S0143,A2,48.29,0.2
S0143,A3,65.74,0.2
S0143,A4,52.46,0.2
S0143,A5,72.64,0.2
S0144,A1,88.48,0.2
S0144,A2,81.05,0.2
S0144,A3,84.69,0.2
S0144,A4,74.28,0.2
S0144,A5,81.57,0.2
S0145,A1,91.09,0.2
S0145,A2,74.02,0.2
S0145,A3,78.76,0.2
S0145,A4,81.12,0.2
S0145,A5,74.75,0.2
S0146,A1,80.77,0.2
S0146,A2,79.26,0.2
S0146,A3,84.28,0.2
S0146,A4,85.59,0.2
S0146,A5,70.92,0.2
S0147,A1,80.66,0.2
S0147,A2,87.45,0.2
S0147,A3,79.41,0.2
S0147,A4,79.62,0.2
S0147,A5,86.47,0.2
S0148,A1,81.98,0.2
S0148,A2,83.67,0.2
S0148,A3,82.9,0.2
S0148,A4,81.5,0.2
S0148,A5,84.32,0.2
S0149,A1,84.4,0.2
S0149,A2,78.57,0.2
S0149,A3,77.58,0.2
S0149,A4,76.65,0.2
S0149,A5,83.04,0.2
S0150,A1,50.57,0.2
S0150,A2,63.66,0.2
S0150,A3,57.39,0.2
S0150,A4,67.43,0.2
S0150,A5,47.97,0.2
S0151,A1,36.59,0.2
S0151,A2,33.74,0.2
S0151,A3,52.03,0.2
S0151,A4,54.21,0.2
S0151,A5,42.62,0.2
S0152,A1,35.03,0.2
S0152,A2,50.27,0.2
S0152,A3,29.62,0.2
S0152,A4,47.35,0.2
S0152,A5,44.51,0.2
S0153,A1,82.53,0.2
S0153,A2,76.66,0.2
S0153,A3,74.83,0.2
S0153,A4,77.88,0.2
S0153,A5,77.14,0.2
S0154,A1,88.28,0.2
S0154,A2,80.51,0.2
S0154,A3,83.1,0.2
S0154,A4,85.32,0.2
S0154,A5,75.52,0.2
S0155,A1,87.27,0.2
S0155,A2,79.64,0.2
S0155,A3,80.74,0.2
S0155,A4,80.52,0.2
S0155,A5,79.71,0.2
S0156,A1,71.24,0.2
S0156,A2,79.77,0.2
S0156,A3,78.77,0.2
S0156,A4,87.3,0.2
S0156,A5,71.43,0.2
S0157,A1,50.3,0.2
S0157,A2,34.36,0.2
S0157,A3,58.5,0.2
S0157,A4,61.24,0.2
S0157,A5,60.3,0.2
S0158,A1,60.14,0.2
S0158,A2,61.54,0.2
S0158,A3,53.48,0.2
S0158,A4,64.08,0.2
S0158,A5,59.48,0.2
S0159,A1,50.3,0.2
S0159,A2,55.04,0.2
S0159,A3,70.36,0.2
S0159,A4,60.77,0.2
S0159,A5,50.45,0.2
S0160,A1,70.58,0.2
S0160,A2,52.39,0.2
S0160,A3,55.76,0.2
S0160,A4,47.62,0.2
S0160,A5,64.69,0.2
S0161,A1,53.92,0.2
S0161,A2,63.54,0.2
S0161,A3,73.82,0.2
S0161,A4,71.36,0.2
S0161,A5,59.26,0.2
S0162,A1,30.76,0.2
S0162,A2,47.48,0.2
S0162,A3,44.72,0.2
S0162,A4,33.72,0.2
S0162,A5,51.96,0.2
S0163,A1,32.76,0.2
S0163,A2,44.11,0.2
S0163,A3,34.82,0.2
S0163,A4,41.72,0.2
S0163,A5,27.46,0.2
S0164,A1,85.19,0.2
S0164,A2,83.3,0.2
S0164,A3,82.14,0.2
S0164,A4,83.44,0.2
S0164,A5,82.51,0.2
S0165,A1,51.9,0.2
S0165,A2,42.24,0.2
S0165,A3,58.54,0.2
S0165,A4,67.36,0.2
S0165,A5,58.17,0.2
S0166,A1,71.7,0.2
S0166,A2,72.14,0.2
S0166,A3,81.63,0.2
S0166,A4,84.29,0.2
S0166,A5,72.79,0.2
S0167,A1,71.24,0.2
S0167,A2,81.17,0.2
S0167,A3,82.25,0.2
S0167,A4,76.29,0.2
S0167,A5,82.18,0.2
S0168,A1,66.97,0.2
S0168,A2,58.01,0.2
S0168,A3,68.12,0.2
S0168,A4,64.64,0.2
S0168,A5,61.85,0.2
S0169,A1,83.85,0.2
S0169,A2,84.23,0.2
S0169,A3,79.58,0.2
S0169,A4,77.44,0.2
S0169,A5,82.77,0.2
S0170,A1,62.89,0.2
S0170,A2,72.04,0.2
S0170,A3,61.1,0.2
S0170,A4,59.84,0.2
S0170,A5,51.12,0.2
S0171,A1,64.45,0.2
S0171,A2,44.28,0.2
S0171,A3,71.09,0.2
S0171,A4,56.64,0.2
S0171,A5,55.94,0.2
S0172,A1,80.4,0.2
S0172,A2,86.52,0.2
S0172,A3,74.83,0.2
S0172,A4,83.31,0.2
S0172,A5,72.36,0.2
S0173,A1,87.94,0.2
S0173,A2,80.82,0.2
S0173,A3,67.62,0.2
S0173,A4,79.74,0.2
S0173,A5,87.97,0.2
S0174,A1,49.58,0.2
S0174,A2,59.05,0.2
S0174,A3,87.83,0.2
S0174,A4,54.68,0.2
S0174,A5,57.66,0.2
S0175,A1,81.58,0.2
S0175,A2,81.01,0.2
S0175,A3,70.33,0.2
S0175,A4,75.51,0.2
S0175,A5,77.78,0.2
S0176,A1,86.45,0.2
S0176,A2,80.31,0.2
S0176,A3,87.32,0.2
S0176,A4,75.89,0.2
S0176,A5,78.82,0.2
S0177,A1,44.86,0.2
S0177,A2,60.54,0.2
S0177,A3,40.47,0.2
S0177,A4,46.09,0.2
S0177,A5,70.66,0.2
S0178,A1,78.56,0.2
S0178,A2,76.65,0.2
S0178,A3,75.48,0.2
S0178,A4,75.28,0.2
S0178,A5,80.73,0.2
S0179,A1,83.34,0.2
S0179,A2,78.79,0.2
S0179,A3,72.05,0.2
S0179,A4,73.89,0.2
S0179,A5,84.8,0.2
S0180,A1,65.37,0.2
S0180,A2,42.84,0.2
S0180,A3,55.28,0.2
S0180,A4,72.99,0.2
S0180,A5,49.56,0.2
S0181,A1,64.06,0.2
S0181,A2,67.59,0.2
S0181,A3,59.22,0.2
S0181,A4,59.05,0.2
S0181,A5,57.98,0.2
S0182,A1,41.39,0.2
S0182,A2,57.53,0.2
S0182,A3,66.68,0.2
S0182,A4,46.55,0.2
S0182,A5,48.22,0.2
S0183,A1,55.03,0.2
S0183,A2,63.63,0.2
S0183,A3,68.78,0.2
S0183,A4,64.18,0.2
S0183,A5,61.36,0.2
S0184,A1,49.79,0.2
S0184,A2,39.51,0.2
S0184,A3,27.21,0.2
S0184,A4,40.55,0.2
S0184,A5,25.65,0.2
S0185,A1,74.88,0.2
S0185,A2,69.78,0.2
S0185,A3,73.56,0.2
S0185,A4,60.35,0.2
S0185,A5,50.44,0.2
S0186,A1,18.27,0.2
